#LIBRARY    INDEN.0-beta
#REACTION   SI-28(N,EL)SI-28-L0,SIG
#NUCLEUS    Si-28
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 67807.7     4.2913       Lin-Lin
 67808.7     3.9746       Lin-Lin
 67809.7     3.68596      Lin-Lin
 67810.6     3.43168      Lin-Lin
 67811.6     3.20927      Lin-Lin
 67812.5     3.01103      Lin-Lin
 67813.5     2.83579      Lin-Lin
 67814.5     2.68209      Lin-Lin
 67815.4     2.54832      Lin-Lin
 67816.4     2.43275      Lin-Lin
 67817.3     2.33361      Lin-Lin
 67818.3     2.2471       Lin-Lin
 67819.3     2.17248      Lin-Lin
 67820.3     2.11029      Lin-Lin
 67821.3     2.05877      Lin-Lin
 67822.8     1.99807      Lin-Lin
 67824.3     1.95315      Lin-Lin
 67825.8     1.92016      Lin-Lin
 67828.1     1.88651      Lin-Lin
 67830.3     1.86538      Lin-Lin
 67833.3     1.84844      Lin-Lin
 67837.8     1.83479      Lin-Lin
 67849.9     1.81924      Lin-Lin
 67869.9     1.80881      Lin-Lin
 67931.6     1.79797      Lin-Lin
 68413.9     1.7687       Lin-Lin
 69886.3     1.69748      Lin-Lin
 70820.1     1.65798      Lin-Lin
 70836.6     1.65834      Lin-Lin
 72051.6     1.6102       Lin-Lin
 74524.2     1.52736      Lin-Lin
 77143.4     1.45139      Lin-Lin
 80061.9     1.37562      Lin-Lin
 84192.8     1.27764      Lin-Lin
 86926.5     1.21474      Lin-Lin
 86943.4     1.21599      Lin-Lin
 86949.5     1.22049      Lin-Lin
 86953.3     1.22884      Lin-Lin
 86955.8     1.23968      Lin-Lin
 86958.3     1.25769      Lin-Lin
 86960.1     1.27686      Lin-Lin
 86961.7     1.29999      Lin-Lin
 86963.3     1.33016      Lin-Lin
 86964.9     1.36883      Lin-Lin
 86966.6     1.41751      Lin-Lin
 86968.2     1.47766      Lin-Lin
 86969.4     1.53374      Lin-Lin
 86970.7     1.5982       Lin-Lin
 86972       1.67137      Lin-Lin
 86973.2     1.75339      Lin-Lin
 86974.5     1.84413      Lin-Lin
 86975.7     1.94315      Lin-Lin
 86977.6     2.10546      Lin-Lin
 86980       2.32862      Lin-Lin
 86983.1     2.61994      Lin-Lin
 86984.9     2.78832      Lin-Lin
 86986.6     2.93119      Lin-Lin
 86988       3.03392      Lin-Lin
 86989.5     3.1238       Lin-Lin
 86991       3.19149      Lin-Lin
 86992.4     3.23428      Lin-Lin
 86993.8     3.25044      Lin-Lin
 86994       3.25095      Lin-Lin
 86995.5     3.23894      Lin-Lin
 86996.6     3.21267      Lin-Lin
 86998       3.15869      Lin-Lin
 86999       3.10667      Lin-Lin
 87000.5     3.01025      Lin-Lin
 87002       2.89522      Lin-Lin
 87003.8     2.74338      Lin-Lin
 87007.6     2.38675      Lin-Lin
 87010.1     2.1517       Lin-Lin
 87012       1.98818      Lin-Lin
 87013.3     1.88784      Lin-Lin
 87014.5     1.79548      Lin-Lin
 87015.8     1.7116       Lin-Lin
 87017.1     1.63642      Lin-Lin
 87018.5     1.56061      Lin-Lin
 87019.8     1.50495      Lin-Lin
 87021       1.45674      Lin-Lin
 87022.2     1.41541      Lin-Lin
 87023.4     1.38035      Lin-Lin
 87024.9     1.34616      Lin-Lin
 87026.8     1.31151      Lin-Lin
 87028.7     1.28598      Lin-Lin
 87030.6     1.26754      Lin-Lin
 87033.1     1.25097      Lin-Lin
 87036.9     1.23707      Lin-Lin
 87042       1.22887      Lin-Lin
 87052.6     1.22321      Lin-Lin
 87098.3     1.21699      Lin-Lin
 87413       1.20691      Lin-Lin
 103103      0.868414     Lin-Lin
 109662      0.721308     Lin-Lin
 115226      0.591726     Lin-Lin
 121570      0.439284     Lin-Lin
 127324      0.300135     Lin-Lin
 130044      0.236118     Lin-Lin
 131819      0.195654     Lin-Lin
 133003      0.169628     Lin-Lin
 134186      0.144532     Lin-Lin
 135074      0.126482     Lin-Lin
 135962      0.109099     Lin-Lin
 136701      0.0953252    Lin-Lin
 137293      0.0847545    Lin-Lin
 137737      0.0770869    Lin-Lin
 138329      0.0673506    Lin-Lin
 138773      0.060415     Lin-Lin
 139217      0.0537753    Lin-Lin
 139512      0.0495495    Lin-Lin
 139808      0.0454841    Lin-Lin
 140104      0.0415859    Lin-Lin
 140474      0.0369727    Lin-Lin
 140770      0.0334781    Lin-Lin
 140992      0.0309681    Lin-Lin
 141288      0.0278135    Lin-Lin
 141584      0.0248637    Lin-Lin
 141806      0.0227959    Lin-Lin
 142028      0.0208447    Lin-Lin
 142250      0.0190312    Lin-Lin
 142472      0.0173404    Lin-Lin
 142619      0.016292     Lin-Lin
 142767      0.0153054    Lin-Lin
 142915      0.0143819    Lin-Lin
 143063      0.0135229    Lin-Lin
 143211      0.0127296    Lin-Lin
 143359      0.0120034    Lin-Lin
 143507      0.0113457    Lin-Lin
 143655      0.0107577    Lin-Lin
 143803      0.010241     Lin-Lin
 143951      0.00979699   Lin-Lin
 144099      0.00942627   Lin-Lin
 144210      0.00919832   Lin-Lin
 144321      0.00901286   Lin-Lin
 144432      0.00887278   Lin-Lin
 144543      0.00877563   Lin-Lin
 144654      0.00872521   Lin-Lin
 144719      0.00871498   Lin-Lin
 144866      0.00875569   Lin-Lin
 144987      0.00884855   Lin-Lin
 145098      0.00898568   Lin-Lin
 145209      0.00916975   Lin-Lin
 145320      0.0094049    Lin-Lin
 145431      0.0096884    Lin-Lin
 145542      0.0100245    Lin-Lin
 145652      0.0104104    Lin-Lin
 145763      0.0108505    Lin-Lin
 145874      0.0113418    Lin-Lin
 146004      0.0119849    Lin-Lin
 146170      0.0129223    Lin-Lin
 146318      0.0138599    Lin-Lin
 146466      0.0148989    Lin-Lin
 146614      0.0160413    Lin-Lin
 146762      0.0172888    Lin-Lin
 146910      0.0186432    Lin-Lin
 147058      0.0201059    Lin-Lin
 147206      0.0216778    Lin-Lin
 147396      0.0238504    Lin-Lin
 147586      0.026106     Lin-Lin
 147638      0.0266292    Lin-Lin
 147644      0.0268362    Lin-Lin
 147649      0.027163     Lin-Lin
 147654      0.0276297    Lin-Lin
 147659      0.0282943    Lin-Lin
 147664      0.0292918    Lin-Lin
 147674      0.0313471    Lin-Lin
 147678      0.0320278    Lin-Lin
 147682      0.032439     Lin-Lin
 147685      0.032579     Lin-Lin
 147686      0.0325807    Lin-Lin
 147689      0.0324922    Lin-Lin
 147693      0.0321387    Lin-Lin
 147698      0.0315507    Lin-Lin
 147708      0.030079     Lin-Lin
 147712      0.029585     Lin-Lin
 147718      0.0291274    Lin-Lin
 147725      0.0288456    Lin-Lin
 147732      0.0287436    Lin-Lin
 147736      0.028732     Lin-Lin
 147754      0.0288509    Lin-Lin
 147821      0.0296708    Lin-Lin
 147950      0.0315193    Lin-Lin
 148095      0.0337651    Lin-Lin
 148178      0.035085     Lin-Lin
 148343      0.0378826    Lin-Lin
 148508      0.0408498    Lin-Lin
 148674      0.0439884    Lin-Lin
 148839      0.0473012    Lin-Lin
 149004      0.0507916    Lin-Lin
 149170      0.0544633    Lin-Lin
 149418      0.0603353    Lin-Lin
 149666      0.0666044    Lin-Lin
 149913      0.0733509    Lin-Lin
 150161      0.0805208    Lin-Lin
 150414      0.088359     Lin-Lin
 150677      0.096995     Lin-Lin
 150940      0.106242     Lin-Lin
 151202      0.116031     Lin-Lin
 151465      0.126473     Lin-Lin
 151728      0.137495     Lin-Lin
 151990      0.149215     Lin-Lin
 152253      0.161698     Lin-Lin
 152428      0.170196     Lin-Lin
 152778      0.188407     Lin-Lin
 153128      0.207939     Lin-Lin
 153478      0.22885      Lin-Lin
 153829      0.251204     Lin-Lin
 154179      0.275066     Lin-Lin
 154529      0.300504     Lin-Lin
 154879      0.327589     Lin-Lin
 155229      0.356394     Lin-Lin
 155580      0.386997     Lin-Lin
 155930      0.419477     Lin-Lin
 156280      0.453917     Lin-Lin
 156630      0.490404     Lin-Lin
 156980      0.529027     Lin-Lin
 157331      0.569878     Lin-Lin
 157681      0.613056     Lin-Lin
 158031      0.658658     Lin-Lin
 158381      0.70679      Lin-Lin
 158731      0.757557     Lin-Lin
 159082      0.811072     Lin-Lin
 159432      0.867447     Lin-Lin
 159782      0.926802     Lin-Lin
 160132      0.989256     Lin-Lin
 160482      1.05494      Lin-Lin
 161008      1.16016      Lin-Lin
 161533      1.27262      Lin-Lin
 162058      1.39434      Lin-Lin
 162584      1.52415      Lin-Lin
 163109      1.66425      Lin-Lin
 163634      1.81334      Lin-Lin
 164159      1.97382      Lin-Lin
 164685      2.14419      Lin-Lin
 165210      2.32703      Lin-Lin
 165735      2.52066      Lin-Lin
 166261      2.7278       Lin-Lin
 166786      2.94936      Lin-Lin
 167136      3.1002       Lin-Lin
 167836      3.42532      Lin-Lin
 168537      3.77506      Lin-Lin
 169237      4.14993      Lin-Lin
 169938      4.55014      Lin-Lin
 170638      4.97553      Lin-Lin
 171338      5.42554      Lin-Lin
