#LIBRARY    ENDF/B-VIII.0
#REACTION   NA-23(N,EL)NA-23-L0,SIG
#NUCLEUS    Na-23
#MF         3
#MT         2
#E,eV        Sig,b        Interpolation
 214029      4.92438      Lin-Lin
 214729      4.90955      Lin-Lin
 215300      4.87356      Lin-Lin
 216157      4.78457      Lin-Lin
 217014      4.672        Lin-Lin
 219626      4.27829      Lin-Lin
 220300      4.19661      Lin-Lin
 221442      4.08258      Lin-Lin
 222585      3.99292      Lin-Lin
 224871      3.85368      Lin-Lin
 226014      3.80612      Lin-Lin
 227156      3.77938      Lin-Lin
 228014      3.77337      Lin-Lin
 229156      3.78949      Lin-Lin
 229827      3.81613      Lin-Lin
 230585      3.86834      Lin-Lin
 231299      3.94022      Lin-Lin
 231871      4.01771      Lin-Lin
 232442      4.1188       Lin-Lin
 232870      4.21348      Lin-Lin
 233457      4.3756       Lin-Lin
 233870      4.51128      Lin-Lin
 234299      4.68745      Lin-Lin
 234585      4.82941      Lin-Lin
 234870      4.99488      Lin-Lin
 235120      5.16231      Lin-Lin
 235442      5.41269      Lin-Lin
 235745      5.69343      Lin-Lin
 236013      5.98467      Lin-Lin
 236272      6.29905      Lin-Lin
 236397      6.48536      Lin-Lin
 236460      6.60836      Lin-Lin
 236495      6.69981      Lin-Lin
 236524      6.79633      Lin-Lin
 236547      6.89443      Lin-Lin
 236567      7.01597      Lin-Lin
 236586      7.17162      Lin-Lin
 236595      7.27503      Lin-Lin
 236607      7.44634      Lin-Lin
 236616      7.61455      Lin-Lin
 236626      7.84888      Lin-Lin
 236633      8.05281      Lin-Lin
 236639      8.29961      Lin-Lin
 236646      8.59629      Lin-Lin
 236653      8.94826      Lin-Lin
 236659      9.35674      Lin-Lin
 236666      9.81657      Lin-Lin
 236683      11.1262      Lin-Lin
 236691      11.6107      Lin-Lin
 236696      11.9072      Lin-Lin
 236701      12.1238      Lin-Lin
 236706      12.2296      Lin-Lin
 236710      12.2681      Lin-Lin
 236716      12.2181      Lin-Lin
 236721      12.0774      Lin-Lin
 236725      11.8668      Lin-Lin
 236730      11.5952      Lin-Lin
 236737      11.1651      Lin-Lin
 236755      9.87711      Lin-Lin
 236761      9.46941      Lin-Lin
 236768      9.04605      Lin-Lin
 236776      8.69126      Lin-Lin
 236782      8.44262      Lin-Lin
 236789      8.19747      Lin-Lin
 236797      8.00414      Lin-Lin
 236804      7.85233      Lin-Lin
 236816      7.68325      Lin-Lin
 236823      7.59956      Lin-Lin
 236838      7.48002      Lin-Lin
 236858      7.38638      Lin-Lin
 236877      7.33418      Lin-Lin
 236913      7.29684      Lin-Lin
 236925      7.29505      Lin-Lin
 236974      7.31936      Lin-Lin
 237059      7.42154      Lin-Lin
 237173      7.59994      Lin-Lin
 237445      8.09561      Lin-Lin
 238033      9.23836      Lin-Lin
 238247      9.62262      Lin-Lin
 238461      9.96054      Lin-Lin
 238729      10.289       Lin-Lin
 238890      10.4241      Lin-Lin
 239071      10.5132      Lin-Lin
 239210      10.5326      Lin-Lin
 239371      10.5039      Lin-Lin
 239532      10.4239      Lin-Lin
 239639      10.3419      Lin-Lin
 239853      10.1212      Lin-Lin
 240067      9.8383       Lin-Lin
 240281      9.50954      Lin-Lin
 240762      8.68244      Lin-Lin
 241404      7.55614      Lin-Lin
 242233      6.16499      Lin-Lin
 242617      5.76261      Lin-Lin
 242685      5.72525      Lin-Lin
 242696      5.72423      Lin-Lin
 242729      5.73783      Lin-Lin
 242757      5.77912      Lin-Lin
 242777      5.83658      Lin-Lin
 242798      5.92467      Lin-Lin
 242819      6.05723      Lin-Lin
 242835      6.18294      Lin-Lin
 242850      6.33867      Lin-Lin
 242865      6.5272       Lin-Lin
 242880      6.74981      Lin-Lin
 242896      7.00553      Lin-Lin
 242919      7.44199      Lin-Lin
 242968      8.46722      Lin-Lin
 242985      8.76939      Lin-Lin
 243000      9.00594      Lin-Lin
 243016      9.19258      Lin-Lin
 243031      9.32634      Lin-Lin
 243047      9.409        Lin-Lin
 243066      9.44828      Lin-Lin
 243070      9.44878      Lin-Lin
 243092      9.41145      Lin-Lin
 243114      9.31784      Lin-Lin
 243151      9.07964      Lin-Lin
 243214      8.61634      Lin-Lin
 243263      8.28032      Lin-Lin
 243313      7.98584      Lin-Lin
 243379      7.65226      Lin-Lin
 243444      7.3726       Lin-Lin
 243517      7.11133      Lin-Lin
 243589      6.88629      Lin-Lin
 243677      6.64954      Lin-Lin
 243806      6.34968      Lin-Lin
 243889      6.17954      Lin-Lin
 243930      6.10398      Lin-Lin
 244027      5.97333      Lin-Lin
 244206      5.77023      Lin-Lin
 244387      5.59305      Lin-Lin
 244683      5.34476      Lin-Lin
 244996      5.1225       Lin-Lin
 245110      5.04962      Lin-Lin
 245482      4.87554      Lin-Lin
 245936      4.70006      Lin-Lin
 246430      4.54088      Lin-Lin
 246924      4.40715      Lin-Lin
 247583      4.25884      Lin-Lin
 248242      4.13654      Lin-Lin
 249066      4.01128      Lin-Lin
 249976      3.8985       Lin-Lin
 251100      3.78697      Lin-Lin
 252388      3.68582      Lin-Lin
 254105      3.58115      Lin-Lin
 256252      3.48201      Lin-Lin
 258814      3.39241      Lin-Lin
 262128      3.30377      Lin-Lin
 267225      3.1979       Lin-Lin
 277930      3.00165      Lin-Lin
 281498      2.92039      Lin-Lin
 284302      2.83954      Lin-Lin
 286494      2.75705      Lin-Lin
 288125      2.67775      Lin-Lin
 289348      2.60293      Lin-Lin
 290470      2.51746      Lin-Lin
 291387      2.43067      Lin-Lin
 292101      2.34855      Lin-Lin
 292713      2.2649       Lin-Lin
 293273      2.17457      Lin-Lin
 293793      2.0757       Lin-Lin
 294222      1.98102      Lin-Lin
 294568      1.89393      Lin-Lin
 294935      1.79002      Lin-Lin
 295302      1.67306      Lin-Lin
 295669      1.54356      Lin-Lin
 296281      1.31317      Lin-Lin
 296464      1.25001      Lin-Lin
 296587      1.21385      Lin-Lin
 296709      1.18556      Lin-Lin
 296801      1.17172      Lin-Lin
 296893      1.1657       Lin-Lin
 296969      1.16917      Lin-Lin
 297046      1.1821       Lin-Lin
 297097      1.19699      Lin-Lin
 297148      1.21774      Lin-Lin
 297199      1.24511      Lin-Lin
 297250      1.27998      Lin-Lin
